City/Town,Ward,Pct,"Warren F. Kitzmiller","Mary S. Hooper",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Montpelier,,,309,308,16,151,784
TOTALS,,,309,308,16,151,784
