City/Town,Ward,Pct,"Shane McCormack",Write-Ins,Blanks,"Total Votes Cast"
"Rutland City",-,"Rutland 5-4",12,0,60,72
"Rutland Town",,,20,0,151,171
Ryegate,,,5,0,74,79
Salisbury,,,1,0,16,17
Sandgate,,,0,0,11,11
Searsburg,,,0,0,7,7
Shaftsbury,,,3,0,46,49
Sharon,,,4,0,27,31
Sheffield,,,6,0,11,17
Shelburne,-,"Chittenden 5-1",4,0,122,126
Shelburne,-,"Chittenden 5-2",13,0,78,91
Sheldon,,,13,0,26,39
Shoreham,,,1,0,57,58
Shrewsbury,,,4,0,41,45
"S. Burlington",-,"Chittenden 7-1",10,0,70,80
"S. Burlington",-,"Chittenden 7-2",18,0,66,84
"S. Burlington",-,"Chittenden 7-3",7,0,49,56
"S. Burlington",-,"Chittenden 7-4",8,0,101,109
"S. Hero",,,15,0,51,66
Springfield,-,"Windsor 3-1",1,0,7,10
Springfield,-,"Windsor 3-2",17,0,93,112
"St. Albans City",,,35,0,126,161
"St. Albans Town",-,"Franklin 3-1",24,0,72,96
"St. Albans Town",-,"Franklin 3-2",22,0,148,170
"St. George",,,2,0,5,7
"St. Johnsbury",,,57,0,410,467
Stamford,,,0,0,3,3
Stannard,,,2,0,3,5
Starksboro,,,3,0,27,30
Stockbridge,,,3,0,14,17
Stowe,,,8,0,31,39
Strafford,,,2,0,19,21
Stratton,,,0,0,6,6
Sudbury,,,0,0,10,10
Sunderland,-,"Bennington 3",0,0,3,3
Sunderland,-,"Bennington 4",0,0,12,12
Sutton,,,6,0,23,30
Swanton,,,17,0,120,137
Thetford,,,6,0,44,50
Tinmouth,-,"Rutland 2",0,0,0,0
Tinmouth,-,Rutland-Bennington,0,0,14,14
Topsham,,,0,0,23,23
Townshend,,,2,0,10,12
Troy,-,"Orleans 2",1,0,8,9
Troy,-,Orleans-Lamoille,10,0,39,51
Tunbridge,,,5,0,43,49
Underhill,,,29,0,71,100
Vergennes,,,6,0,59,65
Vernon,,,5,0,48,53
Vershire,,,2,0,8,10
Victory,,,4,0,12,16
Waitsfield,,,2,0,68,70
Walden,,,2,0,20,22
Wallingford,,,0,0,34,34
Waltham,,,3,0,11,14
Wardsboro,,,0,0,6,6
Warren,,,4,0,25,29
Washington,,,2,0,57,60
Waterbury,,,8,0,69,77
Waterford,,,6,0,134,140
Waterville,,,7,0,2,9
Weathersfield,,,7,0,244,251
Wells,,,2,0,67,71
"W. Fairlee",,,1,0,12,13
"W. Haven",,,4,0,40,44
"W. Rutland",,,6,0,47,53
"W. Windsor",,,8,0,27,35
Westfield,,,2,0,24,26
Westford,,,3,0,51,54
Westminster,-,"Windham 3",0,0,3,3
Westminster,-,"Windham 4",11,0,56,67
Westmore,,,5,0,26,31
Weston,,,2,0,17,19
Weybridge,,,0,0,32,32
Wheelock,,,5,0,24,29
Whiting,,,2,0,13,15
Whitingham,-,"Windham 6",1,0,15,16
Whitingham,-,Windham-Bennington,0,0,0,0
Williamstown,,,13,0,60,74
Williston,,,29,0,154,183
Wilmington,,,3,0,28,31
Windham,,,0,0,1,1
Windsor,,,5,0,30,36
Winhall,,,1,0,19,20
Winooski,,,6,0,58,64
Wolcott,,,5,0,31,36
Woodbury,,,3,0,37,40
Woodford,,,0,0,2,2
Woodstock,,,9,0,67,76
TOTALS,,,"2,176",0,"14,829","17,040"
