City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,"Total Votes Cast"
,,
Benson,-,Addison-Rutland,-,0,3,0
Brandon,-,"Rutland 6",-,6,27,0
Castleton,-,"Rutland 3",-,0,3,0
Chittenden,-,"Rutland-Windsor 1",-,0,3,0
Clarendon,-,"Rutland 2",-,0,3,0
Ira,-,"Rutland 1",-,2,1,0
"Middletown Springs",-,Rutland-Bennington,-,0,9,0
Pittsford,-,"Rutland 6",-,0,3,0
Proctor,-,"Rutland 2",-,0,3,0
"Rutland City",-,"Rutland 5-1",-,0,0,0
"Rutland City",-,"Rutland 5-2",-,0,3,3
"Rutland City",-,"Rutland 5-3",-,0,0,0
"Rutland City",-,"Rutland 5-4",-,0,0,0
"Rutland Town",-,"Rutland 4",-,0,2,0
"W. Haven",-,"Rutland 3",-,0,3,0
TOTALS,,,-,8,63,71
