City/Town,Ward,Pct,"William Canfield","Robert Helm","Dean Powers",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
Castleton,,,141,133,36,2,39,351
"Fair Haven",,,109,78,26,0,37,250
Hubbardton,,,24,23,3,0,4,54
"W. Haven",,,32,27,10,0,19,88
TOTALS,,,306,261,75,2,99,743
