City/Town,Ward,Pct,"Sarah E. Buxton",Write-Ins,Blanks,"Total Votes Cast"
,,,
Royalton,,,21,1,3,25
Tunbridge,,,34,0,0,34
TOTALS,,,55,1,3,59
