City/Town,Ward,Pct,"Alison H. Clarkson",Write-Ins,Blanks,"Total Votes Cast"
,,,
Plymouth,,,5,0,0,5
Reading,,,19,0,7,26
Woodstock,,,83,2,8,93
TOTALS,,,107,2,15,124
