City/Town,Ward,Pct,"Paul D. Lefebvre","Kenn Stransky","Maurice G. Connary",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
Bloomfield,,,4,7,8,0,2,21
Brighton,,,146,25,19,0,11,201
Canaan,,,16,50,6,0,1,73
"E. Haven",,,14,3,1,0,4,22
Lemington,,,0,13,1,0,0,14
Newark,,,56,6,3,0,0,65
Norton,,,17,12,2,0,1,32
Westmore,,,18,8,2,0,3,31
TOTALS,,,271,124,42,0,22,459
