City/Town,Ward,Pct,"Lynn D. Batchelor","Loren T. Shaw",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Brownington,,,67,77,3,92,239
Charleston,,,34,37,2,27,100
Derby,,,294,288,8,244,834
Holland,,,25,19,0,30,74
Morgan,,,54,51,2,62,169
TOTALS,,,474,472,15,455,"1,416"
