City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,"Total Votes Cast"
,,
Fairlee,-,"Orange 2",-,0,2,0
Hardwick,-,"Caledonia 2",-,0,2,0
Newark,-,Essex-Caledonia-Orleans,-,1,1,0
Newbury,-,Orange-Caledonia,-,0,4,0
Orange,-,"Orange 1",-,1,5,0
Peacham,-,Caledonia-Washington,-,1,5,0
Ryegate,-,"Caledonia 1",-,2,2,0
"St. Johnsbury",-,"Caledonia 3",-,3,1,0
Walden,-,"Caledonia 2",-,0,2,0
TOTALS,,,-,8,24,32
