City/Town,Ward,Pct,"Johannah Leddy Donovan","Mary M. Sullivan",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Burlington,,,358,342,2,218,920
TOTALS,,,358,342,2,218,920
