City/Town,Ward,Pct,"Daniel F. Connor",Write-Ins,Blanks,"Total Votes Cast"
,,,
Bakersfield,,,27,0,5,32
Fairfield,,,42,0,8,50
Fletcher,,,12,1,6,19
TOTALS,,,81,1,19,101
