City/Town,Ward,Pct,"Mark Higley",Write-Ins,Blanks,"Total Votes Cast"
,,,
Eden,,,24,0,6,30
Jay,,,19,0,6,25
Lowell,,,29,2,5,36
Troy,,,38,0,12,50
Westfield,,,23,0,3,26
TOTALS,,,133,2,32,167
