City/Town,Ward,Pct,"Marcia Robinson Martel","Leigh B. Larocque",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Barnet,,,105,81,0,4,190
Ryegate,,,40,37,0,2,79
Waterford,,,92,47,0,1,140
TOTALS,,,237,165,0,7,409
