City/Town,Ward,Pct,"John Moran",Write-Ins,Blanks,"Total Votes Cast"
,,,
Dover,,,27,4,16,47
Readsboro,,,15,1,2,18
Searsburg,,,2,0,0,2
Stamford,,,15,1,2,18
Wardsboro,,,25,3,6,34
Whitingham,,,1,0,0,1
TOTALS,,,85,9,26,120
