City/Town,Ward,Pct,"Kyle Walker","Debbie Rackliff",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Jericho,,,100,102,2,80,284
Underhill,,,68,62,0,70,200
TOTALS,,,168,164,2,150,484
