City/Town,Ward,Pct,"Richard Mazza",Write-Ins,Blanks,"Total Votes Cast"
,,,
Colchester,-,"Chittenden 9-1",81,3,17,101
Colchester,-,"Chittenden 9-2",128,2,28,158
"Grand Isle",-,"Grand Isle-Chittenden",204,4,38,0
"Isle La Motte",-,"Grand Isle-Chittenden",51,2,11,0
"N. Hero",-,"Grand Isle-Chittenden",113,0,16,0
"S. Hero",-,"Grand Isle-Chittenden",197,3,49,0
TOTALS,,,774,14,159,947
