City/Town,Ward,Pct,"Larry G. Fiske",Write-Ins,Blanks,"Total Votes Cast"
,,,
Enosburgh,,,80,1,0,81
Montgomery,,,33,0,2,35
TOTALS,,,113,1,2,116
