City/Town,Ward,Pct,"Tony Dupont",Write-Ins,Blanks,"Total Votes Cast"
,,,
Arlington,,,36,8,50,94
Manchester,,,67,78,135,280
Sandgate,,,4,1,6,11
Sunderland,,,11,4,9,24
TOTALS,,,118,91,200,409
