City/Town,Ward,Pct,"Leigh J. Dakin",Write-Ins,Blanks,"Total Votes Cast"
,,,
Andover,,,17,0,1,18
Baltimore,,,2,0,1,3
Chester,,,65,0,7,72
Springfield,,,1,0,1,2
TOTALS,,,85,0,10,95
