City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,"Total Votes Cast"
,,
Barton,-,Orleans-Caledonia,-,0,2,0
Brownington,-,"Orleans 1",-,0,2,0
Canaan,-,Essex-Caledonia-Orleans,-,0,2,0
Charleston,-,"Orleans 1",-,0,4,0
Coventry,-,"Orleans 2",-,0,4,0
Craftsbury,-,Orleans-Caledonia,-,2,2,0
Derby,-,"Orleans 1",-,4,2,0
Greensboro,-,Orleans-Caledonia,-,0,2,0
Guildhall,-,Essex-Caledonia,-,0,2,0
Irasburg,-,"Orleans 2",-,2,2,0
Lowell,-,Orleans-Lamoille,-,2,2,0
Lunenburg,-,Essex-Caledonia,-,0,2,0
Montgomery,-,"Franklin 7",-,5,5,0
"Newport City",-,"Orleans 2",-,2,5,0
"Newport Town",-,"Orleans 2",-,0,2,0
Troy,-,"Orleans 2",-,0,3,3
Troy,-,Orleans-Lamoille,-,0,3,3
TOTALS,,,-,17,46,63
