City/Town,Ward,Pct,"Peter Shumlin","H. Brooke Paige",Write-Ins,Blanks,"Total Votes Cast"
Sunderland,-,"Bennington 3",6,1,0,0,7
Sunderland,-,"Bennington 4",4,1,0,1,6
Sutton,,,3,2,2,0,7
Swanton,,,42,18,10,6,76
Thetford,,,500,57,7,38,602
Tinmouth,-,"Rutland 2",2,1,1,0,4
Tinmouth,-,Rutland-Bennington,12,2,0,2,16
Topsham,,,3,3,0,0,6
Townshend,,,78,21,3,23,125
Troy,-,"Orleans 2",2,0,0,0,2
Troy,-,Orleans-Lamoille,10,3,3,1,17
Tunbridge,,,22,8,3,1,34
Underhill,,,59,20,4,9,92
Vergennes,,,30,6,1,2,39
Vernon,,,28,30,3,8,69
Vershire,,,24,2,0,1,27
Victory,,,0,1,0,0,1
Waitsfield,,,88,12,4,6,110
Walden,,,12,3,4,3,22
Wallingford,,,31,10,3,3,47
Waltham,,,6,0,2,0,8
Wardsboro,,,23,5,3,2,33
Warren,,,31,9,0,1,41
Washington,,,12,7,1,0,20
Waterbury,,,58,6,4,8,76
Waterford,,,11,3,0,0,14
Waterville,,,10,5,1,3,19
Weathersfield,,,250,65,9,19,343
Wells,,,19,5,0,0,24
"W. Fairlee",,,9,3,1,1,14
"W. Haven",,,15,0,0,2,17
"W. Rutland",,,11,8,0,1,20
"W. Windsor",,,21,2,2,1,26
Westfield,,,5,7,7,1,20
Westford,,,37,4,7,6,54
Westminster,-,"Windham 3",4,3,0,1,8
Westminster,-,"Windham 4",257,32,5,19,313
Westmore,,,3,3,0,0,6
Weston,,,19,2,0,2,23
Weybridge,,,33,4,2,0,39
Wheelock,,,9,2,1,1,13
Whiting,,,9,5,2,0,16
Whitingham,-,"Windham 6",23,11,2,4,40
Whitingham,-,Windham-Bennington,1,0,0,0,1
Williamstown,,,26,11,11,0,48
Williston,,,113,17,19,17,166
Wilmington,,,27,7,2,1,37
Windham,,,29,16,1,14,60
Windsor,,,42,6,0,2,50
Winhall,,,3,2,1,3,9
Winooski,,,284,99,25,63,471
Wolcott,,,35,7,12,5,59
Woodbury,,,17,5,2,0,24
Woodford,,,8,4,2,1,15
Woodstock,,,76,11,2,4,93
Worcester,,,34,6,4,4,48
TOTALS,,,"15,260","3,199","1,369","1,900","21,728"
