City/Town,Ward,Pct,"Peter Welch",Write-Ins,Blanks,"Total Votes Cast"
"Rutland City",-,"Rutland 5-4",46,1,4,51
"Rutland Town",,,66,1,11,78
Ryegate,,,22,0,1,23
Salisbury,,,22,0,1,23
Sandgate,,,18,1,2,21
Searsburg,,,2,0,0,2
Shaftsbury,,,65,1,8,74
Sharon,,,118,0,2,120
Sheffield,,,8,0,4,12
Shelburne,-,"Chittenden 5-1",238,0,18,256
Shelburne,-,"Chittenden 5-2",89,4,9,102
Sheldon,,,18,1,1,20
Shoreham,,,75,0,7,82
Shrewsbury,,,49,0,0,49
"S. Burlington",-,"Chittenden 7-1",147,1,20,168
"S. Burlington",-,"Chittenden 7-2",113,2,14,129
"S. Burlington",-,"Chittenden 7-3",115,0,13,128
"S. Burlington",-,"Chittenden 7-4",140,2,19,161
"S. Hero",,,222,2,25,249
Springfield,-,"Windsor 3-1",2,0,0,2
Springfield,-,"Windsor 3-2",100,2,16,118
"St. Albans City",,,155,6,10,171
"St. Albans Town",-,"Franklin 3-1",39,1,0,40
"St. Albans Town",-,"Franklin 3-2",100,0,10,110
"St. George",,,6,0,0,6
"St. Johnsbury",,,94,2,4,100
Stamford,,,16,0,2,18
Stannard,,,20,1,6,27
Starksboro,,,36,0,2,38
Stockbridge,,,6,0,2,8
Stowe,,,73,0,14,87
Strafford,,,208,1,12,221
Stratton,,,5,0,2,7
Sudbury,,,7,0,1,8
Sunderland,-,"Bennington 3",6,0,1,7
Sunderland,-,"Bennington 4",5,0,1,6
Sutton,,,7,0,0,7
Swanton,,,68,3,5,76
Thetford,,,546,2,53,601
Tinmouth,-,"Rutland 2",4,0,0,4
Tinmouth,-,Rutland-Bennington,16,0,0,16
Topsham,,,6,0,0,6
Townshend,,,99,1,24,124
Troy,-,"Orleans 2",2,0,0,2
Troy,-,Orleans-Lamoille,15,0,2,17
Tunbridge,,,32,1,1,34
Underhill,,,78,0,14,92
Vergennes,,,31,0,8,39
Vernon,,,55,0,14,69
Vershire,,,25,0,2,27
Victory,,,1,0,0,1
Waitsfield,,,105,0,6,111
Walden,,,16,0,6,22
Wallingford,,,39,0,8,47
Waltham,,,8,0,0,8
Wardsboro,,,31,0,3,34
Warren,,,37,0,4,41
Washington,,,17,1,2,20
Waterbury,,,71,0,6,77
Waterford,,,12,2,0,14
Waterville,,,14,2,3,19
Weathersfield,,,310,3,30,343
Wells,,,21,0,3,24
"W. Fairlee",,,12,0,2,14
"W. Haven",,,15,0,2,17
"W. Rutland",,,17,2,1,20
"W. Windsor",,,25,1,0,26
Westfield,,,17,2,1,20
Westford,,,49,1,4,54
Westminster,-,"Windham 3",8,0,0,8
Westminster,-,"Windham 4",277,0,36,313
Westmore,,,6,0,0,6
Weston,,,22,0,1,23
Weybridge,,,38,0,1,39
Wheelock,,,11,1,2,14
Whiting,,,14,1,1,16
Whitingham,-,"Windham 6",35,0,5,40
Whitingham,-,Windham-Bennington,1,0,0,1
Williamstown,,,40,4,4,48
Williston,,,150,3,13,166
Wilmington,,,34,0,3,37
Windham,,,43,0,17,60
Windsor,,,49,0,1,50
Winhall,,,8,0,1,9
Winooski,,,358,5,108,471
Wolcott,,,47,1,11,59
Woodbury,,,24,0,0,24
Woodford,,,14,1,0,15
Woodstock,,,89,1,3,93
Worcester,,,45,0,3,48
TOTALS,,,"19,248",224,"2,291","21,763"
