City/Town,Ward,Pct,"Bill Frank","George Till",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Jericho,,,106,109,5,42,262
Underhill,,,77,69,1,37,184
TOTALS,,,183,178,6,79,446
