City/Town,Ward,Pct,"Susan Smiley",Write-Ins,Blanks,"Total Votes Cast"
,,,
Bridport,,,13,2,0,15
"New Haven",,,34,0,4,38
Weybridge,,,30,1,9,40
TOTALS,,,77,3,13,93
