City/Town,Ward,Pct,"Catherine Toll",Write-Ins,Blanks,"Total Votes Cast"
,,,
Cabot,,,29,0,4,33
Danville,,,67,0,8,75
Peacham,,,46,0,5,51
TOTALS,,,142,0,17,159
