City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,"Total Votes Cast"
,,
Bolton,,,-,1,55,56
Huntington,,,-,1,59,60
Waterbury,,,-,4,150,154
TOTALS,,,-,6,264,270
