City/Town,Ward,Pct,"Kathleen C. Keenan","Mike McCarthy",Write-Ins,Blanks,"Total Votes Cast"
,,,,
"St. Albans City",,,131,116,38,57,342
"St. Albans Town",,,29,31,3,17,80
TOTALS,,,160,147,41,74,422
