City/Town,Ward,Pct,"Stephen A. Carr",Write-Ins,Blanks,"Total Votes Cast"
,,,
Brandon,,,351,12,435,798
Pittsford,,,33,6,39,78
Sudbury,,,7,0,9,16
TOTALS,,,391,18,483,892
