City/Town,Ward,Pct,"Shap Smith","Avram Patt",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Elmore,,,28,23,2,15,68
Morristown,,,106,58,11,101,276
Woodbury,,,22,22,0,4,48
Worcester,,,42,40,0,14,96
TOTALS,,,198,143,13,134,488
