City/Town,Ward,Pct,"Patti Komline",Write-Ins,Blanks,"Total Votes Cast"
,,,
Danby,,,43,2,6,51
Dorset,,,66,0,2,68
Landgrove,,,9,0,0,9
"Mount Tabor",,,10,0,2,12
Peru,,,11,0,2,13
TOTALS,,,139,2,12,153
