City/Town,Ward,Pct,"Tim Ashe","Virginia Lyons","David Zuckerman","Michael Sirotkin","Phil Baruth","Dawn Ellis",Write-Ins,Blanks,"Total Votes Cast"
,,,,,,,,
Bolton,-,Washington-Chittenden,17,16,16,19,15,13,0,36,0
Burlington,-,"Chittenden 6-1",395,378,353,342,374,331,30,887,"3,090"
Burlington,-,"Chittenden 6-2",264,254,234,228,246,226,12,600,"2,064"
Burlington,-,"Chittenden 6-3",133,115,127,109,123,107,10,236,960
Burlington,-,"Chittenden 6-4",134,128,130,128,134,106,3,275,"1,038"
Burlington,-,"Chittenden 6-5",368,347,340,332,338,297,8,730,"2,760"
Burlington,-,"Chittenden 6-6",39,41,37,39,39,36,0,69,300
Burlington,-,"Chittenden 6-7",4,2,2,4,2,1,0,21,36
Charlotte,-,"Chittenden 4-1",160,156,152,158,143,136,8,407,0
Essex,-,"Chittenden 8-1",79,81,68,80,74,67,7,186,642
Essex,-,"Chittenden 8-2",97,101,91,88,87,82,7,173,726
Essex,-,"Chittenden 8-3",25,26,23,26,22,21,0,61,204
Hinesburg,-,"Chittenden 4-1",2,2,2,2,2,2,0,0,12
Hinesburg,-,"Chittenden 4-2",87,93,97,78,80,67,2,174,678
Jericho,-,"Chittenden 3",115,106,103,105,102,91,1,163,0
Milton,-,"Chittenden 10",72,77,72,63,66,67,0,213,630
Milton,-,"Grand Isle-Chittenden",15,15,13,12,14,12,0,45,126
Richmond,-,"Chittenden 1",120,126,113,110,112,97,2,250,0
Shelburne,-,"Chittenden 5-1",201,198,201,223,185,168,4,356,"1,536"
Shelburne,-,"Chittenden 5-2",69,76,66,70,70,62,1,198,612
"S. Burlington",-,"Chittenden 7-1",119,126,123,127,120,100,7,286,"1,008"
"S. Burlington",-,"Chittenden 7-2",90,90,91,98,90,75,5,235,774
"S. Burlington",-,"Chittenden 7-3",105,97,100,106,94,86,3,177,768
"S. Burlington",-,"Chittenden 7-4",126,127,124,115,112,104,2,262,972
"St. George",-,"Chittenden 5-2",5,6,6,5,4,5,1,0,0
Underhill,-,"Chittenden 3",75,71,72,69,70,63,3,129,0
Westford,-,"Chittenden 8-3",41,39,39,38,36,34,0,97,0
Williston,-,"Chittenden 2",135,141,129,115,118,109,8,241,0
Winooski,-,"Chittenden 6-7",313,285,291,262,267,249,6,"1,165",0
TOTALS,,,"3,405","3,320","3,215","3,151","3,139","2,814",130,"7,672","26,846"
