City/Town,Ward,Pct,"Sam Young","Chris Braithwaite",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Albany,,,15,12,1,12,40
Barton,,,22,20,3,13,58
Craftsbury,,,51,46,9,12,118
Glover,,,50,40,4,12,106
Greensboro,,,49,42,4,29,124
Sheffield,,,8,7,2,7,24
Wheelock,,,13,10,1,4,28
TOTALS,,,208,177,24,89,498
