City/Town,Ward,Pct,"Phil Scott",Write-Ins,Blanks,"Total Votes Cast"
"Rutland City",-,"Rutland 5-4",66,0,16,82
"Rutland Town",,,162,1,8,171
Ryegate,,,68,0,11,79
Salisbury,,,15,0,2,17
Sandgate,,,8,0,3,11
Searsburg,,,7,0,0,7
Shaftsbury,,,42,0,7,49
Sharon,,,26,0,5,31
Sheffield,,,16,0,1,17
Shelburne,-,"Chittenden 5-1",119,0,7,126
Shelburne,-,"Chittenden 5-2",86,0,5,91
Sheldon,,,39,0,0,39
Shoreham,,,50,0,8,58
Shrewsbury,,,40,0,5,45
"S. Burlington",-,"Chittenden 7-1",75,0,5,80
"S. Burlington",-,"Chittenden 7-2",78,0,6,84
"S. Burlington",-,"Chittenden 7-3",54,0,2,56
"S. Burlington",-,"Chittenden 7-4",102,0,7,109
"S. Hero",,,59,0,7,66
Springfield,-,"Windsor 3-1",8,0,2,10
Springfield,-,"Windsor 3-2",106,1,5,112
"St. Albans City",,,145,1,15,161
"St. Albans Town",-,"Franklin 3-1",93,0,3,96
"St. Albans Town",-,"Franklin 3-2",162,0,8,170
"St. George",,,6,0,1,7
"St. Johnsbury",,,398,5,64,467
Stamford,,,2,0,1,3
Stannard,,,5,0,0,5
Starksboro,,,26,0,4,30
Stockbridge,,,17,0,0,17
Stowe,,,39,0,0,39
Strafford,,,18,0,3,21
Stratton,,,4,0,2,6
Sudbury,,,6,0,4,10
Sunderland,-,"Bennington 3",2,0,1,3
Sunderland,-,"Bennington 4",8,1,3,12
Sutton,,,29,0,1,30
Swanton,,,129,2,6,137
Thetford,,,45,0,5,50
Tinmouth,-,"Rutland 2",0,0,0,0
Tinmouth,-,Rutland-Bennington,14,0,0,14
Topsham,,,23,0,0,23
Townshend,,,12,0,0,12
Troy,-,"Orleans 2",6,0,3,9
Troy,-,Orleans-Lamoille,43,1,7,51
Tunbridge,,,44,0,5,49
Underhill,,,92,0,8,100
Vergennes,,,54,1,10,65
Vernon,,,47,0,6,53
Vershire,,,9,0,1,10
Victory,,,13,0,3,16
Waitsfield,,,65,0,5,70
Walden,,,20,0,2,22
Wallingford,,,30,0,4,34
Waltham,,,10,0,4,14
Wardsboro,,,5,0,1,6
Warren,,,28,0,1,29
Washington,,,57,0,3,60
Waterbury,,,74,0,3,77
Waterford,,,124,0,16,140
Waterville,,,8,0,1,9
Weathersfield,,,220,0,31,251
Wells,,,62,0,9,71
"W. Fairlee",,,12,0,1,13
"W. Haven",,,37,0,7,44
"W. Rutland",,,48,1,4,53
"W. Windsor",,,28,0,7,35
Westfield,,,22,0,4,26
Westford,,,48,1,5,54
Westminster,-,"Windham 3",3,0,0,3
Westminster,-,"Windham 4",63,0,4,67
Westmore,,,27,0,4,31
Weston,,,19,0,0,19
Weybridge,,,30,0,2,32
Wheelock,,,26,1,2,29
Whiting,,,15,0,0,15
Whitingham,-,"Windham 6",16,0,0,16
Whitingham,-,Windham-Bennington,0,0,0,0
Williamstown,,,70,1,3,74
Williston,,,172,1,10,183
Wilmington,,,26,0,5,31
Windham,,,1,0,0,1
Windsor,,,32,0,4,36
Winhall,,,18,0,2,20
Winooski,,,57,2,5,64
Wolcott,,,34,0,2,36
Woodbury,,,40,0,0,40
Woodford,,,2,0,0,2
Woodstock,,,61,1,14,76
Worcester,,,27,0,0,27
TOTALS,,,"15,282",125,"1,661","17,068"
