City/Town,Ward,Pct,"Chip Conquest",Write-Ins,Blanks,"Total Votes Cast"
,,,
Groton,,,14,0,3,17
Newbury,,,36,0,5,41
Topsham,,,4,0,2,6
TOTALS,,,54,0,10,64
