City/Town,Ward,Pct,"Claudette Sortino",Write-Ins,Blanks,"Total Votes Cast"
,,,
Barnet,,,41,0,5,46
Ryegate,,,20,2,1,23
Waterford,,,7,4,3,14
TOTALS,,,68,6,9,83
