City/Town,Ward,Pct,"Thomas Burditt",Write-Ins,Blanks,"Total Votes Cast"
,,,
Clarendon,,,44,2,51,97
Proctor,,,13,0,17,30
Wallingford,,,26,3,39,68
"W. Rutland",,,45,3,58,106
TOTALS,,,128,8,165,301
