City/Town,Ward,Pct,"Robin Chesnut-Tangerman",Write-Ins,Blanks,"Total Votes Cast"
,,,
"Middletown Springs",,,32,1,2,35
Pawlet,,,34,1,4,39
Rupert,,,21,3,8,32
Tinmouth,,,16,0,0,16
Wells,,,20,1,3,24
TOTALS,,,123,6,17,146
