City/Town,Ward,Pct,"Rebecca Ellis","Tom Stevens",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Bolton,,,19,17,1,7,44
Huntington,,,72,61,0,35,168
Waterbury,,,64,68,1,21,154
TOTALS,,,155,146,2,63,366
