City/Town,Ward,Pct,"Mike Mrowicki","David L. Deen",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Dummerston,,,200,195,0,63,458
Putney,,,210,201,3,80,494
Westminster,,,244,257,5,120,626
TOTALS,,,654,653,8,263,"1,578"
