City/Town,Ward,Pct,"Richard A. Westman",Write-Ins,Blanks,"Total Votes Cast"
,,,
Belvidere,-,"Lamoille 2",11,0,0,0
Cambridge,-,"Lamoille 3",63,3,11,0
Eden,-,Orleans-Lamoille,23,1,6,0
Elmore,-,Lamoille-Washington,25,1,3,0
"Hyde Park",-,"Lamoille 2",60,0,16,0
Johnson,-,"Lamoille 2",31,1,7,0
Morristown,-,Lamoille-Washington,96,0,9,0
Stowe,-,"Lamoille 1",34,0,4,0
Waterville,-,"Lamoille 3",8,0,1,0
TOTALS,,,351,6,57,414
