City/Town,Ward,Pct,"Bernard C. Juskiewicz",Write-Ins,Blanks,"Total Votes Cast"
,,,
Cambridge,,,65,2,10,77
Waterville,,,8,0,1,9
TOTALS,,,73,2,11,86
