City/Town,Ward,Pct,"Gary Viens","Michael J. Marcotte",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Coventry,,,61,70,7,48,186
Irasburg,,,36,47,1,38,122
"Newport City",,,275,251,15,152,693
"Newport Town",,,69,65,3,47,184
Troy,,,5,6,2,5,18
TOTALS,,,446,439,28,290,"1,203"
