City/Town,Ward,Pct,"Richard Lawrence","Martha Feltus",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Burke,,,36,31,1,16,84
Lyndon,,,114,107,2,41,264
Sutton,,,27,24,0,9,60
TOTALS,,,177,162,3,66,408
