City/Town,Ward,Pct,"Job Tate",Write-Ins,Blanks,"Total Votes Cast"
,,,
Bridgewater,,,12,0,6,18
Chittenden,,,33,1,11,45
Killington,,,23,0,10,33
Mendon,,,36,0,14,50
TOTALS,,,104,1,41,146
