City/Town,Ward,Pct,"Janssen Willhoit","Scott Beck","Tom Moore",Write-Ins,Blanks,"Total Votes Cast"
,,,,,
"St. Johnsbury",,,284,283,170,18,179,934
TOTALS,,,284,283,170,18,179,934
