City/Town,Ward,Pct,"Michael Fisher","Dave Sharpe",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Bristol,,,40,40,2,22,104
Lincoln,,,42,37,0,19,98
Monkton,,,43,43,0,10,96
Starksboro,,,31,31,4,10,76
TOTALS,,,156,151,6,61,374
