City/Town,Ward,Pct,"Connie Quimby",Write-Ins,Blanks,"Total Votes Cast"
,,,
Brunswick,,,7,1,3,11
Concord,,,45,1,18,64
Granby,,,12,0,3,15
Guildhall,,,24,6,17,47
Kirby,,,16,0,1,17
Lunenburg,,,85,5,20,110
Maidstone,,,20,2,4,26
Victory,,,13,0,3,16
TOTALS,,,222,15,69,306
