City/Town,Ward,Pct,"Beth Pearce",Write-Ins,Blanks,"Total Votes Cast"
,,,
Addison,,,29,0,8,37
Albany,,,17,1,2,20
Alburgh,,,124,4,53,181
Andover,,,14,0,4,18
Arlington,,,36,0,7,43
Athens,,,5,0,12,17
Bakersfield,,,23,1,8,32
Baltimore,,,2,0,1,3
Barnard,,,18,1,7,26
Barnet,,,39,0,7,46
"Barre City",,,127,3,32,162
"Barre Town",,,61,1,13,75
Barton,,,24,0,5,29
Belvidere,,,6,0,3,9
Bennington,-,"Bennington 2-1",621,3,359,983
Bennington,-,"Bennington 2-2",300,0,152,452
Benson,,,15,0,3,18
Berkshire,,,23,0,6,29
Berlin,,,51,0,14,65
Bethel,,,23,1,9,33
Bloomfield,,,7,0,0,7
Bolton,,,19,0,3,22
Bradford,,,23,0,6,29
Braintree,,,11,0,0,11
Brandon,,,302,0,98,400
Brattleboro,-,"Windham 2-1",205,1,85,291
Brattleboro,-,"Windham 2-2",231,0,113,344
Brattleboro,-,"Windham 2-3",291,0,111,402
Bridgewater,,,12,2,3,17
Bridport,,,14,0,1,15
Brighton,,,26,0,14,40
Bristol,,,44,0,8,52
Brookfield,,,26,0,6,32
Brookline,,,46,0,17,63
Brownington,,,41,0,11,52
Brunswick,,,9,0,1,10
Burke,,,8,0,2,10
Burlington,-,"Chittenden 6-1",391,5,119,515
Burlington,-,"Chittenden 6-2",264,1,79,344
Burlington,-,"Chittenden 6-3",128,2,30,160
Burlington,-,"Chittenden 6-4",133,4,36,173
Burlington,-,"Chittenden 6-5",367,2,91,460
Burlington,-,"Chittenden 6-6",41,1,8,50
Burlington,-,"Chittenden 6-7",4,0,2,6
Cabot,,,25,0,8,33
Calais,,,47,1,5,53
Cambridge,,,52,0,22,74
Canaan,,,7,0,0,7
Castleton,,,37,1,12,50
Cavendish,,,73,0,22,95
Charleston,,,17,0,5,22
Charlotte,,,144,0,76,220
Chelsea,,,27,0,3,30
Chester,,,59,0,13,72
Chittenden,,,26,0,2,28
Clarendon,,,26,0,4,30
Colchester,-,"Chittenden 9-1",79,0,23,102
Colchester,-,"Chittenden 9-2",122,0,36,158
Concord,,,22,0,2,24
Corinth,,,38,0,4,42
Cornwall,,,40,0,15,55
Coventry,,,14,1,5,20
Craftsbury,,,45,0,14,59
Danby,,,45,0,10,55
Danville,,,59,0,16,75
Derby,,,147,1,41,189
Dorset,,,93,0,33,126
Dover,,,33,0,14,47
Dummerston,,,179,0,50,229
Duxbury,,,17,0,6,23
"E. Haven",,,11,0,1,12
"E. Montpelier",,,54,0,13,67
Eden,,,9,0,4,13
Elmore,,,27,0,7,34
Enosburgh,,,55,2,18,75
Essex,-,"Chittenden 8-1",82,1,24,107
Essex,-,"Chittenden 8-2",96,0,25,121
Essex,-,"Chittenden 8-3",24,0,10,34
"Fair Haven",,,31,0,9,40
Fairfax,,,61,1,15,77
Fairfield,,,40,0,10,50
Fairlee,,,18,0,4,22
Fayston,,,21,0,4,25
Ferrisburgh,,,36,0,8,44
Fletcher,,,14,0,5,19
Franklin,,,42,0,13,55
Georgia,,,20,1,8,29
Glover,,,42,0,11,53
Goshen,,,10,0,2,12
Grafton,,,35,0,29,64
Granby,,,3,0,0,3
"Grand Isle",,,181,3,62,246
Granville,,,10,0,3,13
Greensboro,,,43,0,19,62
Groton,,,14,0,3,17
Guildhall,,,7,0,1,8
Guilford,,,106,1,49,156
Halifax,,,17,0,11,28
Hancock,,,12,0,0,12
Hardwick,,,43,1,8,52
Hartford,-,"Windsor 4-1",20,1,5,26
Hartford,-,"Windsor 4-2",95,0,21,116
Hartland,,,66,0,8,74
Highgate,,,41,1,7,49
Hinesburg,-,"Chittenden 4-1",2,0,0,2
Hinesburg,-,"Chittenden 4-2",85,0,28,113
Holland,,,7,0,1,8
Hubbardton,,,2,0,2,4
Huntington,,,66,1,18,85
"Hyde Park",,,59,0,24,83
Ira,,,12,0,0,12
Irasburg,,,10,0,3,13
"Isle La Motte",,,45,0,19,64
Jamaica,,,42,0,17,59
Jay,,,4,0,2,6
Jericho,,,107,1,23,131
Johnson,,,47,0,7,54
Killington,,,10,0,5,15
Kirby,,,1,0,0,1
Landgrove,,,9,0,4,13
Leicester,,,13,0,2,15
Lemington,,,2,0,0,2
Lincoln,,,44,1,4,49
Londonderry,,,27,0,10,37
Lowell,,,17,0,7,24
Ludlow,,,18,0,3,21
Lunenburg,,,13,1,0,14
Lyndon,,,37,0,7,44
Maidstone,,,4,0,0,4
Manchester,,,67,0,17,84
Marlboro,,,111,0,39,150
Marshfield,,,31,1,10,42
Mendon,,,14,0,5,19
Middlebury,,,497,1,176,674
Middlesex,,,48,2,8,58
"Middletown Springs",,,29,0,6,35
Milton,-,"Chittenden 10",79,0,26,105
Milton,-,"Grand Isle-Chittenden",17,0,4,21
Monkton,,,42,0,6,48
Montgomery,,,40,0,11,51
Montpelier,,,301,6,85,392
Moretown,,,15,0,15,30
Morgan,,,11,0,2,13
Morristown,,,103,0,35,138
"Mount Holly",,,25,0,6,31
"Mount Tabor",,,6,0,1,7
"New Haven",,,37,0,1,38
Newark,,,6,0,3,9
Newbury,,,31,0,10,41
Newfane,,,116,0,52,168
"Newport City",,,58,2,15,75
"Newport Town",,,19,0,5,24
"N. Hero",,,94,0,35,129
Northfield,,,41,1,11,53
Norton,,,4,0,4,8
Norwich,,,561,2,251,814
Orange,,,9,0,5,14
Orwell,,,22,0,7,29
Panton,,,11,0,6,17
Pawlet,,,34,0,5,39
Peacham,,,37,0,14,51
Peru,,,20,0,5,25
Pittsfield,,,12,1,3,16
Pittsford,,,34,0,5,39
Plainfield,,,33,1,7,41
Plymouth,,,5,0,0,5
Pomfret,,,33,0,7,40
Poultney,,,37,0,6,43
Pownal,,,106,0,24,130
Proctor,,,25,0,4,29
Putney,,,181,0,67,248
Randolph,,,70,1,10,81
Reading,,,19,0,8,27
Readsboro,,,16,0,2,18
Richford,,,21,0,6,27
Richmond,,,126,0,29,155
Ripton,,,47,0,11,58
Rochester,,,30,2,7,39
Rockingham,,,284,0,111,395
Roxbury,,,13,0,4,17
Royalton,,,22,0,3,25
Rupert,,,26,0,6,32
"Rutland City",-,"Rutland 5-1",64,1,23,88
"Rutland City",-,"Rutland 5-2",44,3,15,62
"Rutland City",-,"Rutland 5-3",29,1,9,39
"Rutland City",-,"Rutland 5-4",42,0,9,51
"Rutland Town",,,60,1,17,78
Ryegate,,,22,0,1,23
Salisbury,,,19,0,4,23
Sandgate,,,19,0,2,21
Searsburg,,,2,0,0,2
Shaftsbury,,,53,0,21,74
Sharon,,,93,0,27,120
Sheffield,,,7,0,5,12
Shelburne,-,"Chittenden 5-1",216,0,40,256
Shelburne,-,"Chittenden 5-2",75,3,24,102
Sheldon,,,14,6,0,20
Shoreham,,,57,0,25,82
Shrewsbury,,,43,1,5,49
"S. Burlington",-,"Chittenden 7-1",127,0,41,168
"S. Burlington",-,"Chittenden 7-2",104,0,25,129
"S. Burlington",-,"Chittenden 7-3",103,2,23,128
"S. Burlington",-,"Chittenden 7-4",119,0,43,162
"S. Hero",,,178,0,71,249
Springfield,-,"Windsor 3-1",2,0,0,2
Springfield,-,"Windsor 3-2",94,0,24,118
"St. Albans City",,,145,2,24,171
"St. Albans Town",-,"Franklin 3-1",39,0,1,40
"St. Albans Town",-,"Franklin 3-2",85,2,23,110
"St. George",,,6,0,0,6
"St. Johnsbury",,,81,1,18,100
Stamford,,,9,0,9,18
Stannard,,,19,0,8,27
Starksboro,,,37,0,1,38
Stockbridge,,,5,0,3,8
Stowe,,,59,1,27,87
Strafford,,,162,0,59,221
Stratton,,,2,0,5,7
Sudbury,,,6,0,2,8
Sunderland,-,"Bennington 3",5,0,2,7
Sunderland,-,"Bennington 4",5,0,1,6
Sutton,,,7,0,0,7
Swanton,,,59,1,16,76
Thetford,,,410,1,191,602
Tinmouth,-,"Rutland 2",4,0,0,4
Tinmouth,-,Rutland-Bennington,16,0,0,16
Topsham,,,5,0,1,6
Townshend,,,78,0,47,125
Troy,-,"Orleans 2",2,0,0,2
Troy,-,Orleans-Lamoille,12,0,5,17
Tunbridge,,,29,0,5,34
Underhill,,,67,2,23,92
Vergennes,,,32,0,7,39
Vernon,,,33,8,28,69
Vershire,,,23,0,4,27
Victory,,,1,0,0,1
Waitsfield,,,78,1,32,111
Walden,,,13,0,9,22
Wallingford,,,39,0,8,47
Waltham,,,6,0,2,8
Wardsboro,,,25,1,8,34
Warren,,,32,0,9,41
Washington,,,17,0,3,20
Waterbury,,,62,0,15,77
Waterford,,,8,0,6,14
Waterville,,,13,0,6,19
Weathersfield,,,270,5,68,343
Wells,,,21,0,3,24
"W. Fairlee",,,12,0,2,14
"W. Haven",,,14,0,3,17
"W. Rutland",,,16,0,4,20
"W. Windsor",,,22,0,4,26
Westfield,,,18,0,2,20
Westford,,,38,0,16,54
Westminster,-,"Windham 3",5,0,3,8
Westminster,-,"Windham 4",229,1,83,313
Westmore,,,4,0,2,6
Weston,,,19,0,4,23
Weybridge,,,31,0,9,40
Wheelock,,,13,0,1,14
Whiting,,,14,0,2,16
Whitingham,-,"Windham 6",29,1,10,40
Whitingham,-,Windham-Bennington,0,0,1,1
Williamstown,,,37,0,11,48
Williston,,,134,1,31,166
Wilmington,,,31,0,6,37
Windham,,,34,0,26,60
Windsor,,,45,0,4,49
Winhall,,,5,0,4,9
Winooski,,,326,1,146,473
Wolcott,,,46,0,13,59
Woodbury,,,24,0,0,24
Woodford,,,13,1,1,15
Woodstock,,,76,1,16,93
Worcester,,,45,0,3,48
TOTALS,,,"16,312",122,"5,334","21,768"
