City/Town,Ward,Pct,"Dave Potter",Write-Ins,Blanks,"Total Votes Cast"
,,,
Clarendon,,,28,19,13,60
Proctor,,,26,8,24,58
Tinmouth,,,4,2,2,8
Wallingford,,,35,17,42,94
"W. Rutland",,,17,5,18,40
TOTALS,,,110,51,99,260
