City/Town,Ward,Pct,"Carolyn W. Partridge","Matthew A. Trieber",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Athens,,,11,11,1,11,34
Brookline,,,55,43,0,28,126
Grafton,,,45,43,0,40,128
Rockingham,,,316,292,8,174,790
Westminster,,,8,7,0,1,16
Windham,,,52,40,0,28,120
TOTALS,,,487,436,9,282,"1,214"
