City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,"Total Votes Cast"
,,
Barnard,-,"Windsor 4-1",-,1,2,0
Cavendish,-,"Windsor 2",-,2,7,0
Chester,-,"Windsor 3-1",-,0,3,0
Hartford,-,"Windsor 4-1",-,0,0,0
Hartford,-,"Windsor 4-2",-,1,5,6
Hartland,-,"Windsor 1",-,0,6,0
Londonderry,-,Windham-Bennington-Windsor,-,6,30,0
"Mount Holly",-,"Rutland-Windsor 2",-,0,6,0
Norwich,-,"Windsor-Orange 2",-,4,8,0
Plymouth,-,"Windsor 5",-,0,3,0
Royalton,-,"Windsor-Orange 1",-,2,1,0
Springfield,-,"Windsor 3-1",-,0,0,0
Springfield,-,"Windsor 3-2",-,0,6,6
Weathersfield,-,"Windsor 2",-,4,20,0
Weston,-,Windham-Bennington-Windsor,-,3,3,0
Woodstock,-,"Windsor 5",-,3,3,0
TOTALS,,,-,26,103,129
