City/Town,Ward,Pct,"Sarah Copeland Hanzas",Write-Ins,Blanks,"Total Votes Cast"
,,,
Bradford,,,26,0,3,29
Fairlee,,,19,0,2,21
"W. Fairlee",,,12,0,2,14
TOTALS,,,57,0,7,64
