City/Town,Ward,Pct,"Fred K. Baser","Valerie Mullin",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Bristol,,,55,46,3,26,130
Lincoln,,,35,33,1,21,90
Monkton,,,43,43,1,29,116
Starksboro,,,24,25,2,9,60
TOTALS,,,157,147,7,85,396
