City/Town,Ward,Pct,"Anne L. Gallivan",Write-Ins,Blanks,"Total Votes Cast"
,,,
Bridgewater,,,13,0,4,17
Chittenden,,,27,0,1,28
Killington,,,11,0,4,15
Mendon,,,14,0,5,19
TOTALS,,,65,0,14,79
