City/Town,Ward,Pct,"Dean Corren",Write-Ins,Blanks,"Total Votes Cast"
"Rutland City",-,"Rutland 5-4",11,0,40,51
"Rutland Town",,,18,0,60,78
Ryegate,,,11,0,12,23
Salisbury,,,12,0,11,23
Sandgate,,,2,0,19,21
Searsburg,,,1,0,1,2
Shaftsbury,,,14,0,60,74
Sharon,,,38,0,82,120
Sheffield,,,5,0,7,12
Shelburne,-,"Chittenden 5-1",72,0,184,256
Shelburne,-,"Chittenden 5-2",25,0,77,102
Sheldon,,,13,0,7,20
Shoreham,,,15,0,67,82
Shrewsbury,,,15,0,33,49
"S. Burlington",-,"Chittenden 7-1",65,0,103,168
"S. Burlington",-,"Chittenden 7-2",56,0,73,129
"S. Burlington",-,"Chittenden 7-3",52,0,76,128
"S. Burlington",-,"Chittenden 7-4",44,0,118,162
"S. Hero",,,62,0,187,249
Springfield,-,"Windsor 3-1",0,0,2,2
Springfield,-,"Windsor 3-2",39,0,79,119
"St. Albans City",,,81,0,90,171
"St. Albans Town",-,"Franklin 3-1",7,0,33,40
"St. Albans Town",-,"Franklin 3-2",27,0,83,110
"St. George",,,3,0,0,3
"St. Johnsbury",,,38,0,62,100
Stamford,,,1,0,17,18
Stannard,,,10,0,17,27
Starksboro,,,19,0,19,38
Stockbridge,,,2,0,6,8
Stowe,,,16,0,71,87
Strafford,,,75,0,145,221
Stratton,,,1,0,6,7
Sudbury,,,3,0,5,8
Sunderland,-,"Bennington 3",1,0,6,7
Sunderland,-,"Bennington 4",0,0,6,6
Sutton,,,3,0,4,7
Swanton,,,33,0,43,76
Thetford,,,152,0,450,602
Tinmouth,-,"Rutland 2",1,0,3,4
Tinmouth,-,Rutland-Bennington,5,0,11,16
Topsham,,,2,0,3,6
Townshend,,,14,0,111,125
Troy,-,"Orleans 2",1,0,1,2
Troy,-,Orleans-Lamoille,8,0,9,17
Tunbridge,,,15,0,19,34
Underhill,,,37,0,55,92
Vergennes,,,11,0,28,39
Vernon,,,16,0,52,69
Vershire,,,15,0,12,27
Victory,,,0,0,1,1
Waitsfield,,,24,0,87,111
Walden,,,7,0,15,22
Wallingford,,,9,0,37,47
Waltham,,,2,0,6,8
Wardsboro,,,9,0,25,34
Warren,,,13,0,28,41
Washington,,,10,0,10,20
Waterbury,,,33,0,44,77
Waterford,,,2,0,11,14
Waterville,,,6,0,13,19
Weathersfield,,,49,0,294,343
Wells,,,3,0,21,24
"W. Fairlee",,,3,0,11,14
"W. Haven",,,4,0,13,17
"W. Rutland",,,2,0,18,20
"W. Windsor",,,7,0,19,26
Westfield,,,11,0,9,20
Westford,,,19,0,0,54
Westminster,-,"Windham 3",0,0,8,8
Westminster,-,"Windham 4",81,0,231,313
Westmore,,,1,0,5,6
Weston,,,4,0,19,23
Weybridge,,,18,0,22,40
Wheelock,,,6,0,8,14
Whiting,,,5,0,11,16
Whitingham,-,"Windham 6",7,0,33,40
Whitingham,-,Windham-Bennington,0,0,1,1
Williamstown,,,32,0,16,48
Williston,,,62,0,104,166
Wilmington,,,7,0,29,37
Windham,,,9,0,51,60
Windsor,,,15,0,35,50
Winhall,,,0,0,9,9
Winooski,,,76,0,392,473
Wolcott,,,22,0,37,59
Woodbury,,,10,0,14,24
Woodford,,,9,0,6,15
Woodstock,,,24,0,69,93
Worcester,,,21,0,27,48
TOTALS,,,"6,405",0,"15,201","21,682"
