City/Town,Ward,Pct,"Rodney Graham",Write-Ins,Blanks,"Total Votes Cast"
,,,
Chelsea,,,39,5,68,112
Corinth,,,17,4,35,56
Orange,,,34,5,57,96
Vershire,,,6,1,13,20
Washington,,,44,1,74,119
Williamstown,,,61,11,76,148
TOTALS,,,201,27,323,551
