City/Town,Ward,Pct,"Julie Raboin",Write-Ins,Blanks,"Total Votes Cast"
,,,
Coventry,,,9,9,22,40
Irasburg,,,6,4,16,26
"Newport City",,,50,31,71,152
"Newport Town",,,16,11,21,48
Troy,,,2,0,2,4
TOTALS,,,83,55,132,270
