City/Town,Ward,Pct,"Anne B. Donahue","Patti J. Lewis",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Berlin,,,69,73,2,34,178
Northfield,,,96,82,4,48,230
TOTALS,,,165,155,6,82,408
