City/Town,Ward,Pct,"Linda J. Martin","Mark E. Woodward",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Belvidere,,,5,9,0,4,18
"Hyde Park",,,62,56,2,46,166
Johnson,,,43,42,0,23,108
Wolcott,,,52,41,0,25,118
TOTALS,,,162,148,2,98,410
