City/Town,Ward,Pct,"Sandy Haas",Write-Ins,Blanks,"Total Votes Cast"
,,,
Bethel,,,28,1,4,33
Pittsfield,,,14,0,2,16
Rochester,,,33,2,6,41
Stockbridge,,,6,0,2,8
TOTALS,,,81,3,14,98
