City/Town,Ward,Pct,"Mickey Smith","Emily B. Lapan",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Elmore,,,24,17,0,17,58
Morristown,,,83,59,9,59,210
Woodbury,,,20,26,0,34,80
Worcester,,,18,15,0,21,54
TOTALS,,,145,117,9,131,402
