City/Town,Ward,Pct,"Teo Zagar",Write-Ins,Blanks,"Total Votes Cast"
,,,
Barnard,,,23,0,3,26
Hartford,,,20,0,6,26
Pomfret,,,36,1,3,40
TOTALS,,,79,1,12,92
