City/Town,Ward,Pct,"Robert B. Irish","Daniel Nadeau",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Berkshire,,,19,12,3,24,58
Franklin,,,45,19,9,37,110
Highgate,,,32,31,12,23,98
Richford,,,20,14,2,18,54
TOTALS,,,116,76,26,102,320
