City/Town,Ward,Pct,"Lucien G. Gravel","S. Christian Bouthillette",Write-Ins,Blanks,"Total Votes Cast"
,,,,
Belvidere,,,8,7,0,7,22
"Hyde Park",,,64,24,1,63,152
Johnson,,,23,17,6,32,78
Wolcott,,,31,11,1,29,72
TOTALS,,,126,59,8,131,324
